model,season,n_train_seasons,n_matches,log_loss,brier_score,rps,accuracy
XGBoost,2006-07,13,380,1.0019422388366954,0.6013982928882009,0.20355045515159007,0.5026315789473684
XGBoost,2007-08,14,380,0.9664736062776862,0.5761374108571734,0.18976435484848198,0.5421052631578948
XGBoost,2008-09,15,380,0.9686460611076462,0.5762515426517532,0.1932297353458731,0.5526315789473685
XGBoost,2009-10,16,380,0.9537503196130996,0.5636917425421143,0.18814277910397162,0.5447368421052632
XGBoost,2010-11,17,380,1.0353058275714313,0.622818459840876,0.2074779602427534,0.4763157894736842
XGBoost,2011-12,18,380,1.012912099549612,0.6046662606270885,0.20908591404785407,0.5105263157894737
XGBoost,2012-13,19,380,0.9858234691187698,0.5867688939898177,0.19359801735328355,0.5078947368421053
XGBoost,2013-14,20,380,0.9643556829798555,0.567318015070481,0.20038212459936489,0.55
XGBoost,2014-15,21,380,1.0008898907460007,0.5944852036855357,0.20651622947833287,0.49473684210526314
XGBoost,2015-16,22,380,1.0412984527722242,0.624345962947322,0.2112925796666164,0.4789473684210526
XGBoost,2016-17,23,380,0.944392570027759,0.5570411859419726,0.1920696379098587,0.5868421052631579
XGBoost,2017-18,24,380,0.9493650257908967,0.5651657203121955,0.18841253406128536,0.5552631578947368
XGBoost,2018-19,25,380,0.9276224562246924,0.5448961873249847,0.19574015830649477,0.5842105263157895
XGBoost,2019-20,26,380,0.9920515262719689,0.5896597054036856,0.20469482980869025,0.5131578947368421
XGBoost,2020-21,27,380,1.0503892036134013,0.625539130507062,0.2277025879455893,0.4789473684210526
XGBoost,2021-22,28,309,1.0011511625179343,0.5967333062112852,0.20796917354450373,0.5372168284789643
